tv_ticker,exchange,local_symbol,vendor_symbol,mcap_band,mcap_decile_file,us_listed,symbol_needs_manual_map
TSE:2587,TSE,2587,2587.T,$13B-7B,3,N,N
NSE:JSWINFRA,NSE,JSWINFRA,JSWINFRA.NS,$13B-7B,3,N,N
SSE:600118,SSE,600118,600118.SS,$13B-7B,3,N,N
NYSE:SARO,NYSE,SARO,SARO,$13B-7B,3,Y,N
NASDAQ:KYMR,NASDAQ,KYMR,KYMR,$13B-7B,3,Y,N
XETR:NDA,XETR,NDA,NDA.DE,$13B-7B,3,N,N
SIX:BKW,SIX,BKW,BKW.SW,$13B-7B,3,N,N
SZSE:000708,SZSE,000708,000708.SZ,$13B-7B,3,N,N
TSE:8354,TSE,8354,8354.T,$13B-7B,3,N,N
NASDAQ:NUVL,NASDAQ,NUVL,NUVL,$13B-7B,3,Y,N
SSE:688331,SSE,688331,688331.SS,$13B-7B,3,N,N
NYSE:TX,NYSE,TX,TX,$13B-7B,3,Y,N
NSE:HAVELLS,NSE,HAVELLS,HAVELLS.NS,$13B-7B,3,N,N
XETR:EVK,XETR,EVK,EVK.DE,$13B-7B,3,N,N
NYSE:DDS,NYSE,DDS,DDS,$13B-7B,3,Y,N
OMXCOP:JYSK,OMXCOP,JYSK,JYSK.CO,$13B-7B,3,N,N
NSE:DABUR,NSE,DABUR,DABUR.NS,$13B-7B,3,N,N
KRX:030200,KRX,030200,,$13B-7B,3,N,Y
HKEX:6178,HKEX,6178,6178.HK,$13B-7B,3,N,N
OMXCOP:PNDORA,OMXCOP,PNDORA,PNDORA.CO,$13B-7B,3,N,N
SSE:603195,SSE,603195,603195.SS,$13B-7B,3,N,N
NYSE:BMNP,NYSE,BMNP,BMNP,$13B-7B,3,Y,N
NYSE:TTC,NYSE,TTC,TTC,$13B-7B,3,Y,N
OMXSTO:ALIV_SDB,OMXSTO,ALIV_SDB,ALIV_SDB.ST,$13B-7B,3,N,N
EURONEXT:INPST,EURONEXT,INPST,,$13B-7B,3,N,Y
KRX:071050,KRX,071050,,$13B-7B,3,N,Y
KRX:003670,KRX,003670,,$13B-7B,3,N,Y
NYSE:RRC,NYSE,RRC,RRC,$13B-7B,3,Y,N
NASDAQ:XP,NASDAQ,XP,XP,$13B-7B,3,Y,N
NYSE:FR,NYSE,FR,FR,$13B-7B,3,Y,N
HKEX:2268,HKEX,2268,2268.HK,$13B-7B,3,N,N
TSE:7167,TSE,7167,7167.T,$13B-7B,3,N,N
TSE:9697,TSE,9697,9697.T,$13B-7B,3,N,N
NSE:ATGL,NSE,ATGL,ATGL.NS,$13B-7B,3,N,N
SZSE:001965,SZSE,001965,001965.SZ,$13B-7B,3,N,N
TWSE:2801,TWSE,2801,2801.TW,$13B-7B,3,N,N
NYSE:WAL,NYSE,WAL,WAL,$13B-7B,3,Y,N
NYSE:NCLH,NYSE,NCLH,NCLH,$13B-7B,3,Y,N
OMXCOP:DEMANT,OMXCOP,DEMANT,DEMANT.CO,$13B-7B,3,N,N
SSE:601958,SSE,601958,601958.SS,$13B-7B,3,N,N
SSE:688036,SSE,688036,688036.SS,$13B-7B,3,N,N
SSE:688002,SSE,688002,688002.SS,$13B-7B,3,N,N
LSE:PSH,LSE,PSH,PSH.L,$13B-7B,3,N,N
LSE:GAW,LSE,GAW,GAW.L,$13B-7B,3,N,N
HKEX:2607,HKEX,2607,2607.HK,$13B-7B,3,N,N
TSX:IMG,TSX,IMG,IMG.TO,$13B-7B,3,N,N
XETR:SHA0,XETR,SHA0,SHA0.DE,$13B-7B,3,N,N
EURONEXT:RNO,EURONEXT,RNO,,$13B-7B,3,N,Y
SIX:FHZN,SIX,FHZN,FHZN.SW,$13B-7B,3,N,N
NYSE:GKOS,NYSE,GKOS,GKOS,$13B-7B,3,Y,N
SIX:ACLN,SIX,ACLN,ACLN.SW,$13B-7B,3,N,N
SSE:600066,SSE,600066,600066.SS,$13B-7B,3,N,N
TWSE:2002,TWSE,2002,2002.TW,$13B-7B,3,N,N
NYSE:VOYA,NYSE,VOYA,VOYA,$13B-7B,3,Y,N
NYSE:IT,NYSE,IT,IT,$13B-7B,3,Y,N
NYSE:CHWY,NYSE,CHWY,CHWY,$13B-7B,3,Y,N
NYSE:ALV,NYSE,ALV,ALV,$13B-7B,3,Y,N
NASDAQ:CRNX,NASDAQ,CRNX,CRNX,$13B-7B,3,Y,N
XETR:TKA,XETR,TKA,TKA.DE,$13B-7B,3,N,N
ASX:APA,ASX,APA,APA.AX,$13B-7B,3,N,N
HKEX:6181,HKEX,6181,6181.HK,$13B-7B,3,N,N
TWSE:1590,TWSE,1590,1590.TW,$13B-7B,3,N,N
SSE:601788,SSE,601788,601788.SS,$13B-7B,3,N,N
NASDAQ:POWL,NASDAQ,POWL,POWL,$13B-7B,3,Y,N
NASDAQ:SNEX,NASDAQ,SNEX,SNEX,$13B-7B,3,Y,N
LSE:WEIR,LSE,WEIR,WEIR.L,$13B-7B,3,N,N
SSE:688777,SSE,688777,688777.SS,$13B-7B,3,N,N
ASX:PLS,ASX,PLS,PLS.AX,$13B-7B,3,N,N
NYSE:FLS,NYSE,FLS,FLS,$13B-7B,3,Y,N
NSE:PHOENIXLTD,NSE,PHOENIXLTD,PHOENIXLTD.NS,$13B-7B,3,N,N
NASDAQ:LGN,NASDAQ,LGN,LGN,$13B-7B,3,Y,N
NASDAQ:ALKS,NASDAQ,ALKS,ALKS,$13B-7B,3,Y,N
TSX:EFN,TSX,EFN,EFN.TO,$13B-7B,3,N,N
NSE:AUBANK,NSE,AUBANK,AUBANK.NS,$13B-7B,3,N,N
NASDAQ:MANH,NASDAQ,MANH,MANH,$13B-7B,3,Y,N
NSE:NAM_INDIA,NSE,NAM_INDIA,NAM_INDIA.NS,$13B-7B,3,N,N
NSE:OIL,NSE,OIL,OIL.NS,$13B-7B,3,N,N
KRX:010955,KRX,010955,,$13B-7B,3,N,Y
TSE:4151,TSE,4151,4151.T,$13B-7B,3,N,N
NASDAQ:IONS,NASDAQ,IONS,IONS,$13B-7B,3,Y,N
NSE:NMDC,NSE,NMDC,NMDC.NS,$13B-7B,3,N,N
NYSE:FDS,NYSE,FDS,FDS,$13B-7B,3,Y,N
TSE:3003,TSE,3003,3003.T,$13B-7B,3,N,N
TSE:8136,TSE,8136,8136.T,$13B-7B,3,N,N
SSE:600482,SSE,600482,600482.SS,$13B-7B,3,N,N
TSX:CGG,TSX,CGG,CGG.TO,$13B-7B,3,N,N
NASDAQ:AAON,NASDAQ,AAON,AAON,$13B-7B,3,Y,N
NYSE:IAG,NYSE,IAG,IAG,$13B-7B,3,Y,N
NSE:YESBANK,NSE,YESBANK,YESBANK.NS,$13B-7B,3,N,N
NSE:SUZLON,NSE,SUZLON,SUZLON.NS,$13B-7B,3,N,N
NYSE:ACM,NYSE,ACM,ACM,$13B-7B,3,Y,N
HKEX:6880,HKEX,6880,6880.HK,$13B-7B,3,N,N
NASDAQ:BSY,NASDAQ,BSY,BSY,$13B-7B,3,Y,N
EURONEXT:ALO,EURONEXT,ALO,,$13B-7B,3,N,Y
MIL:BGN,MIL,BGN,BGN.MI,$13B-7B,3,N,N
MIL:BZU,MIL,BZU,BZU.MI,$13B-7B,3,N,N
TSX:AG,TSX,AG,AG.TO,$13B-7B,3,N,N
HKEX:3698,HKEX,3698,3698.HK,$13B-7B,3,N,N
NYSE:ARE,NYSE,ARE,ARE,$13B-7B,3,Y,N
NSE:ICICIPRULI,NSE,ICICIPRULI,ICICIPRULI.NS,$13B-7B,3,N,N
NASDAQ:PTGX,NASDAQ,PTGX,PTGX,$13B-7B,3,Y,N
NSE:TORNTPOWER,NSE,TORNTPOWER,TORNTPOWER.NS,$13B-7B,3,N,N
TSE:6506,TSE,6506,6506.T,$13B-7B,3,N,N
NYSE:PRMB,NYSE,PRMB,PRMB,$13B-7B,3,Y,N
SSE:601018,SSE,601018,601018.SS,$13B-7B,3,N,N
NYSE:KT,NYSE,KT,KT,$13B-7B,3,Y,N
MIL:A2A,MIL,A2A,A2A.MI,$13B-7B,3,N,N
NSE:FORTIS,NSE,FORTIS,FORTIS.NS,$13B-7B,3,N,N
TSE:9843,TSE,9843,9843.T,$13B-7B,3,N,N
NSE:PRESTIGE,NSE,PRESTIGE,PRESTIGE.NS,$13B-7B,3,N,N
NSE:POLICYBZR,NSE,POLICYBZR,POLICYBZR.NS,$13B-7B,3,N,N
SZSE:300661,SZSE,300661,300661.SZ,$13B-7B,3,N,N
TSE:3099,TSE,3099,3099.T,$13B-7B,3,N,N
NYSE:JXN,NYSE,JXN,JXN,$13B-7B,3,Y,N
NSE:MCX,NSE,MCX,MCX.NS,$13B-7B,3,N,N
NASDAQ:BOKF,NASDAQ,BOKF,BOKF,$13B-7B,3,Y,N
TSE:9147,TSE,9147,9147.T,$13B-7B,3,N,N
NASDAQ:CBSH,NASDAQ,CBSH,CBSH,$13B-7B,3,Y,N
TSE:9021,TSE,9021,9021.T,$13B-7B,3,N,N
HKEX:470,HKEX,470,0470.HK,$13B-7B,3,N,N
SSE:688469,SSE,688469,688469.SS,$13B-7B,3,N,N
NSE:BAJAJHFL,NSE,BAJAJHFL,BAJAJHFL.NS,$13B-7B,3,N,N
NYSE:REXR,NYSE,REXR,REXR,$13B-7B,3,Y,N
XETR:ZAL,XETR,ZAL,ZAL.DE,$13B-7B,3,N,N
SZSE:001979,SZSE,001979,001979.SZ,$13B-7B,3,N,N
NYSE:AG,NYSE,AG,AG,$13B-7B,3,Y,N
XETR:DWNI,XETR,DWNI,DWNI.DE,$13B-7B,3,N,N
TWSE:2207,TWSE,2207,2207.TW,$13B-7B,3,N,N
NYSE:AGCO,NYSE,AGCO,AGCO,$13B-7B,3,Y,N
SSE:600026,SSE,600026,600026.SS,$13B-7B,3,N,N
SSE:600415,SSE,600415,600415.SS,$13B-7B,3,N,N
NYSE:ESE,NYSE,ESE,ESE,$13B-7B,3,Y,N
XETR:RAA,XETR,RAA,RAA.DE,$13B-7B,3,N,N
NYSE:FRO,NYSE,FRO,FRO,$13B-7B,3,Y,N
NASDAQ:GGAL,NASDAQ,GGAL,GGAL,$13B-7B,3,Y,N
